Name,Location,Address,Amenities,Condition
Aperia Mall,Level 1 near restrooms,"12 Kallang Ave, Singapore 339511",sofa;diaper;sink,Average
Bedok Mall,B1 near restrooms and #B1-01,"311 New Upper Changi Rd, Singapore 467360",sofa;hot-water;diaper;sink,Good
Bugis Junction,Level 2 near #02-16; Level 3 near #03-05B,"200 Victoria St, Singapore 188021",sofa;hot-water;diaper;sink,Good
Bugis+,Level 1 to 4 near restrooms,"201 Victoria St, Singapore 188067",sofa;diaper;sink,Average
Bukit Panjang Plaza,Level 1 to 4 near restrooms,"1 Jelebu Rd, Singapore 677743",sofa;diaper;sink,Good
Causeway Point,Levels 1 to 5 and Level 7 near restrooms,"1 Woodlands Square, Singapore 738099",sofa;hot-water;diaper;sink,Good
Central @ Clarke Quay,Level 1 near female restrooms,"6 Eu Tong Sen St, Singapore 059817",sofa;diaper;sink,Average
Centrepoint,Level 3 near #03-06; Level 6 beside Management office,"176 Orchard Rd, Singapore 238843",sofa;hot-water;diaper;sink,Excellent
Changi City Point,B1 to Level 2,"5 Changi Business Park Central 1, Singapore 486038",sofa;hot-water;diaper;sink,Excellent
Chinatown Point,Level 3,"133 New Bridge Rd, Singapore 059413",sofa;diaper;sink,Average
City Square Mall,Levels 2 and 4 near restrooms,"80 Kitchener Rd, Singapore 208539",sofa;hot-water;diaper;sink,Excellent
Clementi Mall,Level 3 to 5,"3155 Commonwealth Ave W, Singapore 129588",sofa;diaper;sink,Good
Compass One,B1 and Level 4,"1 Sengkang Square, Singapore 545078",sofa;hot-water;diaper;sink,Excellent
CQ @ Clarke Quay,Level 1,"3 River Valley Rd, Singapore 179024",diaper;sink,Good
Far East Plaza,Levels 1 to 5 near restrooms,"14 Scotts Rd, Singapore 228213",sofa;hot-water;diaper;sink,Average
Forum The Shopping Mall,Level 1,"583 Orchard Rd, Singapore 238884",sofa;diaper;sink,Good
Funan,Level 4,"107 N Bridge Rd, Singapore 179105",sofa;hot-water;diaper;sink,Excellent
Great World,"B1, Levels 1 and 2","1 Kim Seng Promenade, Singapore 237994",sofa;hot-water;diaper,Excellent
Harbourfront Centre,Levels 2 and 3 near Lobby A,"1 Maritime Square, Singapore 0992531",sofa;hot-water;diaper,Average
IMM,Level 2 near Lobby C and D; Level 3 near Lobby D,"2 Jurong East Street 21, Singapore 609601",sofa;hot-water;diaper;sink,Good
ION Orchard,"B4, B3, B1, Levels 3 and 4","2 Orchard Turn, Singapore 238801",sofa;hot-water;diaper,Good
JEM,"B1, Levels 3 and 5","50 Jurong Gateway Rd, Singapore 608549",sofa;hot-water;diaper;sink,Excellent
Jewel Changi Airport,B2 to Level 4,"78 Airport Boulevard, Singapore 819666",sofa;hot-water;diaper;sink,Excellent
Junction 8,"B1, Level 1, 2 and 3","9 Bishan Pl, Singapore 579837",sofa;hot-water;diaper,Good
Kallang Wave Mall,Level 1 and 2,"1 Stadium Pl, Singapore 397628",sink;diaper,Average
KINEX,Level 2,"1 Tanjong Katong Road, Singapore 437157",sofa;hot-water;diaper;sink,Excellent
Lot One,B1 near #B1-07A,"21 Choa Chu Kang Ave 4, Singapore 689812",sofa;hot-water;diaper;sink,Excellent
Mandarin Gallery,"Level 2, Level 3, Level 4 near restrooms","333A Orchard Rd, Singapore 238897",sofa;diaper;sink,Good
Marina Square,Level B1 and Levels 1 to 3 near restrooms,"6 Raffles Blvd, Singapore 039594",sofa;hot-water;diaper;sink,Excellent
Millennia Walk,Level B1 next to lift lobby B,"9 Raffles Blvd, Singapore 039596",sofa;diaper;sink,Excellent
NEX,"B2, B1, Level 1, 2,3,4 and Sky Garden","23 Serangoon Central, Singapore 556083",sofa;hot-water;diaper;sink,Average
Ngee Ann City,B1 inside female restroom; B2,"91A Orchard Rd, Singapore 238873",sofa;diaper;sink,Good
Northpoint City,North Wing: B2 to Level 3; South Wing: B2 to Level 2,"930 Yishun Ave 2, Singapore 769098",sofa;hot-water;diaper;sink,Good
Orchard Central,"Levels 3, 4 and 7","181 Orchard Rd, Singapore 238896",sofa;hot-water;sink,Average
Paragon,Level 3 or Level 5 near the restrooms,"290 Orchard Road, Singapore 238859",sofa;hot-water;diaper;sink,Good
Parkway Parade,B1 near Japan Home; Level 1 to 3 next to restrooms,"80 Marine Parade Rd, Singapore 449269",sofa;hot-water;diaper;sink,Excellent
Paya Lebar Square,B1 and Level 1,"60 Paya Lebar Rd, Singapore 409051",sofa;diaper;sink,Average
